Length,Frequency,Path,Part_in_6b,NonPart_in_6b,Total_in_6b,Participation_Rate_6b_%,Part_in_Others,NonPart_in_Others,Total_in_Others,Participation_Rate_Others_%,p_value
8,12,"(('enter', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'calculate')), ('workload', ('calculate', 'calculate')), ('exit', ('calculate', 'finish editing')), ('exit', ('finish editing', 'begin editing')), ('workload', ('begin editing', 'calculate')))",2063,340,3730,55.31,4630,576,10815,42.81,0.00012112549155718355
2,16,"(('enter', ('calculate', 'calculate')), ('batch', ('calculate', 'calculate')))",3728,1,3730,99.95,10701,43,10815,98.95,0.0003589156361145651
1,26,"(('workload', ('finish editing', 'save')),)",309,546,3730,8.28,855,2015,10815,7.91,0.0004382295450299223
1,34,"(('batch', ('calculate', 'calculate')),)",3729,1,3730,99.97,10747,40,10815,99.37,0.0006432968820714313
1,18,"(('enter', ('calculate', 'finish editing')),)",925,2805,3730,24.8,2389,8426,10815,22.09,0.0006698706701969703
1,22,"(('exit', ('begin editing', 'save')),)",697,727,3730,18.69,1846,2360,10815,17.07,0.0009187542152241379
7,10,"(('enter', ('calculate', 'calculate')), ('enter', ('calculate', 'finish editing')), ('enter', ('finish editing', 'begin editing')), ('enter', ('begin editing', 'calculate')), ('exit', ('calculate', 'finish editing')), ('exit', ('finish editing', 'begin editing')), ('workload', ('begin editing', 'calculate')))",2095,165,3730,56.17,7048,743,10815,65.17,0.001097253867621495
6,11,"(('enter', ('calculate', 'calculate')), ('enter', ('calculate', 'finish editing')), ('enter', ('finish editing', 'begin editing')), ('enter', ('begin editing', 'calculate')), ('exit', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",2094,171,3730,56.14,7044,760,10815,65.13,0.0015452833646076858
6,11,"(('enter', ('calculate', 'calculate')), ('enter', ('calculate', 'finish editing')), ('enter', ('finish editing', 'begin editing')), ('enter', ('begin editing', 'calculate')), ('workload', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",2094,171,3730,56.14,7044,760,10815,65.13,0.0015452833646076858
6,15,"(('enter', ('calculate', 'calculate')), ('enter', ('calculate', 'finish editing')), ('enter', ('finish editing', 'begin editing')), ('exit', ('begin editing', 'calculate')), ('workload', ('calculate', 'finish editing')), ('workload', ('finish editing', 'begin editing')))",2094,171,3730,56.14,7055,749,10815,65.23,0.0029010491836463093
1,16,"(('workload', ('begin editing', 'insert document')),)",221,459,3730,5.92,426,1174,10815,3.94,0.004417241677034167
2,12,"(('enter', ('begin editing', 'insert document')), ('exit', ('insert document', 'save')))",202,427,3730,5.42,551,900,10815,5.09,0.010651874206574319
1,16,"(('enter', ('begin editing', 'finish editing')),)",287,3443,3730,7.69,977,9838,10815,9.03,0.012278818562701965
1,12,"(('exit', ('begin editing', 'finish editing')),)",276,3454,3730,7.4,939,9876,10815,8.68,0.014611643315540213
1,14,"(('exit', ('begin editing', 'insert document')),)",231,449,3730,6.19,626,974,10815,5.79,0.020087662389885352
1,26,"(('delay', ('mail valid', 'mail income')),)",71,840,3730,1.9,253,2170,10815,2.34,0.021433873036587503
1,20,"(('exit', ('save', 'save')),)",438,495,3730,11.74,1476,1954,10815,13.65,0.032698085384054165
1,11,"(('handover', ('calculate', 'calculate')),)",142,3588,3730,3.81,499,10288,10815,4.61,0.03584392273687664
